----------------page: 1-------------------
title:国科大硕士生导师叶红学科组在城市三维紧凑形态对城市热环境的驱动机制方面取得进展 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=502507&catid=376&Itemid=196 date:2021-03-18
title:国科大博士生导师柳文涛团队与美国学者首次联合发现潮汐变化对美国海岸洪灾发生频率的影响 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=502501&catid=376&Itemid=196 date:2021-03-17
title:国科大博士生导师张同作学科组研究构建了普氏原羚潜在迁移廊道及景观连通性 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=502498&catid=376&Itemid=196 date:2021-03-17
title:国科大博士生导师周华坤和赵新全联合青海师范大学教授等编著的《草地微生物生态工程学》出版发行 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=502497&catid=376&Itemid=196 date:2021-03-17
title:纳米金刚石可抑制肿瘤转移——国科大博士生导师只金芳和硕士生导师李雷课题组在新型碳基纳米材料的生物应用中取得新进展 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=502493&catid=376&Itemid=196 date:2021-03-17
title:国科大博士生导师团队共同研发的抗SARS-CoV-2候选新药启动美国I期临床试验 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=502470&catid=376&Itemid=196 date:2021-03-15
title:国科大博士生导师陈旭荣团队在QCD演化方程和胶子凝聚新物质形态研究中获进展 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=502457&catid=376&Itemid=196 date:2021-03-15
title:Nature Communications接收发表经管学院研究生合作论文成果 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=502439&catid=376&Itemid=196 date:2021-03-12
title:Production and Operations Management接收发表经管学院王曙明副教授研究成果 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=502438&catid=376&Itemid=196 date:2021-03-12
----------------page: 3-------------------
title:国科大博士生导师胡有洪课题组发现邻氨基吡啶炔基类抗过敏化合物 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506444&catid=376&Itemid=196 date:2021-09-13
title:国科大博士生导师钟劲课题组发现病毒利用宿主糖代谢改变传播途径实现免疫逃逸的新机制 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506402&catid=376&Itemid=196 date:2021-09-10
title:国科大博士生导师吴立朋团队在锆氢催化的酰胺硼氢化合成胺类化合物取得新进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506394&catid=376&Itemid=196 date:2021-09-10
title:国科大岗位教授沈强等科研人员发布8月14日海地7.3级地震同震形变场 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506390&catid=376&Itemid=196 date:2021-09-10
title:国科大硕士生导师郑安民团队与合作者阐明分子筛催化羰基化反应中的中间体演化 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506389&catid=376&Itemid=196 date:2021-09-10
title:国科大博士生导师鲁显楷团队发现长期磷素输入降低热带“富氮”森林植物多样性 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506353&catid=376&Itemid=196 date:2021-09-09
title:光电学院孟祥悦课题组在锡基钙钛矿太阳能电池方面取得新进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506343&catid=376&Itemid=196 date:2021-09-08
title:国科大博士生导师李军课题组在盐湖卤水多温相平衡理论预测方面取得进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506332&catid=376&Itemid=196 date:2021-09-07
title:国科大博士生在遥感估算中国森林碳储量方面取得进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506329&catid=376&Itemid=196 date:2021-09-07
title:兰州化物所在仿生催化氧化研究方面取得系列进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506315&catid=376&Itemid=196 date:2021-09-07
title:国科大博士生导师胡泽勇团队在西北地区极端降水变化相关机理研究获进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506305&catid=376&Itemid=196 date:2021-09-06
title:近代物理所在核子敲除反应研究中获进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506298&catid=376&Itemid=196 date:2021-09-06
title:近代物理所在重离子奇异跃迁研究中取得进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506297&catid=376&Itemid=196 date:2021-09-06
title:国科大博士生导师张承才团队在丝状蓝细菌细胞分裂-细胞分化间的联动机制研究取得进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506253&catid=376&Itemid=196 date:2021-09-04
title:国科大博士生导师魏辅文研究员当选欧洲科学院（Academia Europaea）院士 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506235&catid=499&Itemid=420 date:2021-09-03
title:国科大博士生导师钱文峰研究组通过突变特征分析发现新冠病毒的起源与自然过程相符 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506215&catid=376&Itemid=196 date:2021-09-02
title:国科大博士生导师高彩霞研究组建立瞬时表达系统介导的小麦基因组编辑新方法 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506214&catid=376&Itemid=196 date:2021-09-02
title:国科大博士生导师陈红峰团队与合作者在豆科“反向重复区缺失类群”系统发育及紫藤族跨大洲演化方面取得进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506213&catid=376&Itemid=196 date:2021-09-02
title:国科大博士生导师陈红锋研究员等主编的《热带珊瑚岛礁果蔬栽培技术》出版发行 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506212&catid=376&Itemid=196 date:2021-09-02
title:国科大博士生导师戴建武团队联合临床医院合作团队架起脊髓损伤再生修复的桥梁 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506196&catid=376&Itemid=196 date:2021-09-01
----------------page: 4-------------------
title:国科大博士生导师张永清研究组在Trends in Neurosciences发表Calpain在神经系统发育和退行性疾病中的功能的综述 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506195&catid=376&Itemid=196 date:2021-09-01
title:兰州化物所在六方氮化硼基纳米润滑材料研究方面取得系列进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506187&catid=376&Itemid=196 date:2021-09-01
title:西北生态环境资源研究院最新研究显示非一致水的空间状态分布及其相变机制——其寒区工程和环境意义 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506179&catid=376&Itemid=196 date:2021-08-31
title:西北生态环境资源研究院最新研究显示天然气水合物优势晶种繁殖生长模式 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506178&catid=376&Itemid=196 date:2021-08-31
title:国科大博士生导师李灿院士团队仿生催化合成四环色烯缩酮类化合物 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506175&catid=376&Itemid=196 date:2021-08-31
title:国科大博士生导师杨典森团队在水力压裂缝网模拟技术获进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506164&catid=376&Itemid=196 date:2021-08-30
title:生命学院汪颖研究组与合作者在植物单细胞再生机制研究中取得重要进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506155&catid=376&Itemid=196 date:2021-08-29
title:国科大博士生导师崔新江和石峰团队在烯烃区域选择性氢甲酰化反应方面取得新进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506137&catid=376&Itemid=196 date:2021-08-27
title:国科大博士生导师康明研究员团队在东亚季风气候驱动山地植物多样性形成机制研究取得进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506133&catid=376&Itemid=196 date:2021-08-27
title:华南植物园研究者揭示植物调控内质网胁迫诱导细胞死亡的新机制 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506132&catid=376&Itemid=196 date:2021-08-27
title:热带退化海岸台地土壤生物多样性恢复研究获进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506131&catid=376&Itemid=196 date:2021-08-27
title:理化所基于水书写和电擦除的可重写PEDOT薄膜研究取得新进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506115&catid=376&Itemid=196 date:2021-08-26
title:国科大博士生导师陈萍发表“氮气的还原与氧化方法”导论文章 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506094&catid=376&Itemid=196 date:2021-08-20
title:国科大博士生导师朱雪峰、杨维慎团队在利用高压电活化方法原位构建出纳米Au-ZrOx（x2）阴极方面取得进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506093&catid=376&Itemid=196 date:2021-08-20
title:国科大博士生导师焦雨铃研究组与合作者揭示植物单细胞再生机制 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506068&catid=376&Itemid=196 date:2021-08-16
title:国科大导师刘峰研究组合作揭示胎肝造血干细胞扩增功能单元“HSC PLUS” link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506059&catid=376&Itemid=196 date:2021-08-12
title:国科大导师朱顺义团队揭示蛋白质的内稳态在抗真菌肽工程化中的意义 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506058&catid=376&Itemid=196 date:2021-08-12
title:国科大博士生导师姚善国研究组在水稻籽粒大小和叶夹角的协同改良研究中取得进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506054&catid=376&Itemid=196 date:2021-08-12
title:国科大博士生导师John Speakman团队发现棕色脂肪组织是肠道菌群清除小鼠血糖改善的关键 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506046&catid=376&Itemid=196 date:2021-08-10
title:国科大博士生导师田烨研究组发现神经元线粒体应激的记忆可以跨代遗传的现象和机制 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506015&catid=376&Itemid=196 date:2021-08-05
----------------page: 5-------------------
